epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.719,1.00634,4.92012,0.87837,0.00752,0.38469,0.00804,0.00716,0.53567,3.4406,0.80173,0.00332667,0.00332667,0.00332667
2,216.52,0.74815,2.89183,0.83242,0.28602,0.45154,0.3278,0.29661,0.44594,2.17911,0.79919,0.00652813,0.00652813,0.00652813
3,321.661,0.7203,1.70579,0.82941,0.82321,0.81525,0.91479,0.82285,0.46532,0.92911,0.7977,0.0095976,0.0095976,0.0095976
4,423.214,0.62485,0.91416,0.81514,0.93172,0.9014,0.96953,0.91318,0.34248,0.53777,0.7797,0.009406,0.009406,0.009406
5,620.733,0.53354,0.69442,0.80557,0.97677,0.95063,0.98267,0.93315,0.32693,0.37299,0.77578,0.009208,0.009208,0.009208
6,4687.94,0.48457,0.60945,0.79999,0.96609,0.9403,0.98385,0.94565,0.29819,0.38986,0.77399,0.00901,0.00901,0.00901
7,4990.82,0.44643,0.54836,0.7952,0.98183,0.96206,0.98691,0.95124,0.28237,0.3245,0.76949,0.008812,0.008812,0.008812
8,5349.89,0.4196,0.50801,0.79285,0.97956,0.95417,0.98618,0.95545,0.27888,0.33723,0.76758,0.008614,0.008614,0.008614
9,5673.69,0.39666,0.47667,0.79073,0.98242,0.96113,0.98763,0.96588,0.24514,0.30758,0.76411,0.008416,0.008416,0.008416
10,6013.22,0.37821,0.45341,0.78889,0.98824,0.97283,0.98986,0.96865,0.24881,0.2602,0.76306,0.008218,0.008218,0.008218
11,6340.25,0.36268,0.43397,0.78693,0.9908,0.97182,0.99027,0.97565,0.2132,0.24462,0.76005,0.00802,0.00802,0.00802
12,6679.56,0.34915,0.41808,0.7858,0.99011,0.97306,0.99086,0.96499,0.26438,0.25631,0.76442,0.007822,0.007822,0.007822
13,6953.17,0.33942,0.40201,0.78507,0.99051,0.97112,0.99064,0.97764,0.21869,0.24856,0.76053,0.007624,0.007624,0.007624
14,7067.16,0.32938,0.3879,0.783,0.99425,0.979,0.99176,0.97714,0.22876,0.21762,0.75878,0.007426,0.007426,0.007426
15,7204.46,0.3183,0.3777,0.78307,0.99067,0.97484,0.9914,0.97517,0.224,0.23882,0.76047,0.007228,0.007228,0.007228
16,7393.32,0.31226,0.36726,0.78161,0.99232,0.97587,0.99153,0.98156,0.1888,0.21846,0.75735,0.00703,0.00703,0.00703
17,7731.08,0.30525,0.35754,0.78123,0.99358,0.97953,0.99216,0.98287,0.18836,0.20185,0.75626,0.006832,0.006832,0.006832
18,8049.87,0.29415,0.3457,0.78043,0.99307,0.9789,0.99235,0.98464,0.17862,0.20277,0.75522,0.006634,0.006634,0.006634
19,8395.27,0.29074,0.34315,0.77954,0.9941,0.98267,0.9927,0.98556,0.18094,0.18648,0.75513,0.006436,0.006436,0.006436
20,8658.78,0.27985,0.33315,0.77964,0.99388,0.98091,0.99265,0.98628,0.17823,0.18705,0.75513,0.006238,0.006238,0.006238
21,10725.2,0.27749,0.32816,0.77848,0.9935,0.98298,0.99282,0.98757,0.16625,0.18049,0.75379,0.00604,0.00604,0.00604
22,10782.5,0.26906,0.31833,0.77784,0.99418,0.98246,0.99288,0.98727,0.16642,0.1792,0.75397,0.005842,0.005842,0.005842
23,10838.8,0.26484,0.3133,0.77862,0.99428,0.98351,0.99308,0.98764,0.16546,0.18015,0.75385,0.005644,0.005644,0.005644
